entry_time,direction,signal,entry_price,quantity,take_profit,stop_loss,exit_price,exit_time,exit_reason,status,net_pnl,perc_pnl,cumulative_pnl,balance
2026-04-06 00:00:00+00:00,Short,-1,69002.4,0.014492249544943365,67622.352,69692.424,69692.424,2026-04-06 09:14:00+00:00,stop_loss,Completed,-11.40700000000007,-1.140700000000007,-11.40700000000007,9988.593
2026-04-06 10:00:00+00:00,Short,-1,69699.4,0.0143309598074015,68305.412,70396.394,68305.412,2026-04-06 23:07:00+00:00,take_profit,Completed,18.592767010199967,1.8613999999999968,7.185767010199898,10007.1857670102
2026-04-08 00:00:00+00:00,Short,-1,71894.6,0.013919245349456287,70456.708,72613.546,72613.546,2026-04-08 13:07:00+00:00,stop_loss,Completed,-11.415196804428483,-1.1406999999999947,-4.229429794228585,9995.770570205772
2026-04-11 21:00:00+00:00,Short,-1,73263.1,0.013643663140388234,71797.838,73995.731,71797.838,2026-04-12 01:43:00+00:00,take_profit,Completed,18.606127339381057,1.8614000000000033,14.376697545152473,10014.376697545153
2026-04-12 14:00:00+00:00,Long,1,70860.0,0.014132623056089689,72277.2,70151.4,72277.2,2026-04-13 14:58:00+00:00,take_profit,Completed,18.61272053005738,1.8585999999999956,32.989418075209855,10032.98941807521
2026-04-13 21:00:00+00:00,Short,-1,73101.9,0.013724662995182359,71639.862,73832.919,73832.919,2026-04-13 22:14:00+00:00,stop_loss,Completed,-11.4446310291984,-1.1407000000000005,21.544787046011457,10021.544787046012
2026-04-13 23:00:00+00:00,Short,-1,74592.0,0.013435146915280477,73100.16,75337.92,75337.92,2026-04-14 13:47:00+00:00,stop_loss,Completed,-11.431576138583363,-1.1406999999999976,10.113210907428094,10010.113210907428
2026-04-14 15:00:00+00:00,Short,-1,74974.2,0.013351410499755155,73474.716,75723.942,73474.716,2026-04-15 07:45:00+00:00,take_profit,Completed,18.632824730783046,1.8613999999999957,28.74603563821114,10028.74603563821
2026-04-17 15:00:00+00:00,Short,-1,77850.7,0.012882024227962256,76293.686,78629.207,76293.686,2026-04-18 10:05:00+00:00,take_profit,Completed,18.66750787073691,1.8613999999999944,47.41354350894805,10047.413543508948
2026-04-19 11:00:00+00:00,Long,1,75186.3,0.01336335681302172,76690.026,74434.437,74434.437,2026-04-19 20:44:00+00:00,stop_loss,Completed,-11.447018250119713,-1.1392999999999966,35.96652525882834,10035.96652525883
2026-04-20 00:00:00+00:00,Long,1,73765.8,0.013605175467843946,75241.11600000001,73028.142,75241.11600000001,2026-04-20 07:21:00+00:00,take_profit,Completed,18.652847383846144,1.8586000000000082,54.619372642674485,10054.619372642675
2026-04-22 07:00:00+00:00,Short,-1,77964.3,0.012896440258737237,76405.014,78743.943,78743.943,2026-04-22 13:56:00+00:00,stop_loss,Completed,-11.469304318373453,-1.1406999999999954,43.15006832430103,10043.150068324301
2026-04-22 14:00:00+00:00,Short,-1,78789.7,0.01274678043998683,77213.906,79577.597,77213.906,2026-04-23 10:05:00+00:00,take_profit,Completed,18.69431953717879,1.8613999999999933,61.84438786147982,10061.84438786148
2026-04-27 02:00:00+00:00,Short,-1,79252.9,0.01269586903174708,77667.84199999999,80045.42899999999,77667.84199999999,2026-04-27 05:30:00+00:00,take_profit,Completed,18.729117143565418,1.8614000000000057,80.57350500504523,10080.573505005046
2026-04-27 17:00:00+00:00,Long,1,76588.8,0.013161942092061823,78120.576,75822.912,75822.912,2026-04-28 14:23:00+00:00,stop_loss,Completed,-11.484797394252332,-1.1393000000000084,69.08870761079291,10069.088707610794
2026-04-28 16:00:00+00:00,Long,1,76024.0,0.01324461841998684,77544.48,75263.76,77544.48,2026-04-29 09:49:00+00:00,take_profit,Completed,18.71440827196537,1.8585999999999947,87.80311588275828,10087.80311588276
2026-05-01 14:00:00+00:00,Short,-1,78700.0,0.012818047161223329,77126.0,79487.0,79487.0,2026-05-04 01:55:00+00:00,stop_loss,Completed,-11.507157014287465,-1.1407,76.29595886847082,10076.295958868472
2026-05-04 04:00:00+00:00,Short,-1,80279.5,0.012551518082285605,78673.91,81082.295,78673.91,2026-05-04 10:07:00+00:00,take_profit,Completed,18.75601729783773,1.8613999999999953,95.05197616630855,10095.051976166309
2026-05-05 17:00:00+00:00,Short,-1,81249.2,0.012424801691790577,79624.216,82061.692,82061.692,2026-05-06 10:11:00+00:00,stop_loss,Completed,-11.51542578921289,-1.140699999999998,83.53655037709566,10083.536550377095
2026-05-06 13:00:00+00:00,Short,-1,82184.9,0.012269329950364479,80541.20199999999,83006.749,80541.20199999999,2026-05-07 10:28:00+00:00,take_profit,Completed,18.769494934871975,1.8614000000000046,102.30604531196764,10102.306045311967
2026-05-10 17:00:00+00:00,Short,-1,81338.1,0.012420140186839828,79711.338,82151.481,82151.481,2026-05-10 22:55:00+00:00,stop_loss,Completed,-11.523700505887286,-1.1406999999999925,90.78234480608035,10090.782344806079
2026-05-11 01:00:00+00:00,Short,-1,81436.4,0.012390997569644631,79807.67199999999,82250.764,79807.67199999999,2026-05-12 16:51:00+00:00,take_profit,Completed,18.782982256622073,1.8614000000000037,109.56532706270242,10109.5653270627
2026-05-12 18:00:00+00:00,Long,1,80483.3,0.012561072082112315,82092.966,79678.467,79678.467,2026-05-13 13:45:00+00:00,stop_loss,Completed,-11.517827777122518,-1.1392999999999982,98.0474992855799,10098.047499285578
2026-05-13 15:00:00+00:00,Long,1,79718.5,0.012667131844284047,81312.87,78921.315,78921.315,2026-05-13 15:57:00+00:00,stop_loss,Completed,-11.504705515936031,-1.1392999999999973,86.54279376964388,10086.542793769642
2026-05-13 17:00:00+00:00,Long,1,79078.4,0.012755117445180535,80659.968,78287.616,80659.968,2026-05-14 14:49:00+00:00,take_profit,Completed,18.74684843650025,1.8585999999999996,105.28964220614412,10105.289642206142
2026-05-14 18:00:00+00:00,Short,-1,81624.3,0.01238024662043796,79991.814,82440.543,79991.814,2026-05-15 13:27:00+00:00,take_profit,Completed,18.809986140002568,1.8614000000000055,124.09962834614669,10124.099628346145
2026-05-15 15:00:00+00:00,Long,1,79106.0,0.012798143792311764,80688.12,78314.94,78314.94,2026-05-16 07:13:00+00:00,stop_loss,Completed,-11.53438670657473,-1.1392999999999969,112.56524163957195,10112.56524163957
2026-05-16 09:00:00+00:00,Long,1,78380.8,0.012901839789386648,79948.416,77596.992,77596.992,2026-05-17 23:40:00+00:00,stop_loss,Completed,-11.521245579800022,-1.139300000000006,101.04399605977193,10101.04399605977
2026-05-18 02:00:00+00:00,Long,1,77085.2,0.013103739752974334,78626.904,76314.348,76314.348,2026-05-18 14:34:00+00:00,stop_loss,Completed,-11.508119424710884,-1.1392999999999989,89.53587663506104,10089.53587663506
2026-05-22 21:00:00+00:00,Long,1,75951.9,0.013284112545749429,77470.938,75192.381,75192.381,2026-05-23 00:40:00+00:00,stop_loss,Completed,-11.495008224250327,-1.1393000000000002,78.04086841081072,10078.04086841081
2026-05-23 01:00:00+00:00,Long,1,75325.2,0.013379374855175706,76831.704,74571.94799999999,74571.94799999999,2026-05-23 07:50:00+00:00,stop_loss,Completed,-11.48191196138054,-1.1393000000000102,66.55895644943018,10066.55895644943
2026-05-23 08:00:00+00:00,Long,1,74568.3,0.013499783361628775,76059.666,73822.617,76059.666,2026-05-23 20:10:00+00:00,take_profit,Completed,18.709706476456837,1.8585999999999925,85.26866292588701,10085.268662925886
2026-05-23 22:00:00+00:00,Short,-1,76783.0,0.01313476767373753,75247.34,77550.83,77550.83,2026-05-25 06:09:00+00:00,stop_loss,Completed,-11.504265963799583,-1.1407000000000023,73.76439696208743,10073.764396962086
2026-05-27 15:00:00+00:00,Long,1,74996.7,0.013432276882798959,76496.634,74246.733,74246.733,2026-05-27 22:15:00+00:00,stop_loss,Completed,-11.477039777458963,-1.1393000000000058,62.28735718462847,10062.287357184627
2026-05-28 00:00:00+00:00,Long,1,74412.4,0.01352232606015211,75900.648,73668.276,73668.276,2026-05-28 03:18:00+00:00,stop_loss,Completed,-11.463963986040396,-1.139299999999995,50.82339319858807,10050.823393198587
