timestamp,direction,signal,entry_price,quantity,take_profit,stop_loss,exit_price,exit_time,exit_reason,perc_pnl,balance,open,high,low,close,volume
2026-04-02 01:00:00+00:00,Short,-1,68395.61,0.014620821,67027.6978,69079.5661,67027.6978,2026-04-02 02:13:00+00:00,take_profit,1.8614,10018.614,68600.29,68600.29,68365.53,68395.61,28.93246
2026-04-02 02:00:00+00:00,Long,1,67304.83,0.014857775,68650.9266,66631.7817,66631.7817,2026-04-02 02:44:00+00:00,stop_loss,-1.1393,10007.221,67359.27,67359.27,67300,67304.84,16.64737
2026-04-02 17:00:00+00:00,Short,-1,67009.08,0.014923351,65668.8984,67679.1708,67679.1708,2026-04-05 15:30:00+00:00,stop_loss,-1.1407,9995.814,67095.85,67108.5,67009.08,67009.08,19.16241
2026-04-02 18:00:00+00:00,Long,1,66731.84,0.01498535,68066.4768,66064.5216,68066.4768,2026-04-05 22:45:00+00:00,take_profit,1.8586,10014.4,66679.16,66736.8,66679.16,66731.85,11.91605
2026-04-02 19:00:00+00:00,Short,-1,66990.36,0.014927521,65650.5528,67660.2636,67660.2636,2026-04-05 15:30:00+00:00,stop_loss,-1.1407,10002.993,66981.99,67003.53,66975.94,66990.35,7.733
2026-04-03 02:00:00+00:00,Long,1,66571.22,0.015021506,67902.6444,65905.5078,67902.6444,2026-04-05 22:44:00+00:00,take_profit,1.8586,10021.579,66630.01,66630.01,66564.01,66571.22,39.52342
2026-04-03 07:00:00+00:00,Short,-1,66797.61,0.014970596,65461.6578,67465.5861,67465.5861,2026-04-04 15:12:00+00:00,stop_loss,-1.1407,10010.172,66796.8,66797.61,66788.95,66797.61,5.47762
2026-04-03 13:00:00+00:00,Long,1,66698.42,0.014992859,68032.3884,66031.4358,68032.3884,2026-04-05 22:45:00+00:00,take_profit,1.8586,10028.758,66722.16,66729.46,66683.16,66698.42,8.97083
2026-04-03 15:00:00+00:00,Short,-1,66921.11,0.014942968,65582.6878,67590.3211,67590.3211,2026-04-05 15:30:00+00:00,stop_loss,-1.1407,10017.351,66929.8,66929.81,66915.59,66921.12,5.41347
2026-04-04 02:00:00+00:00,Long,1,66841.75,0.014960709,68178.585,66173.3325,68178.585,2026-04-05 22:46:00+00:00,take_profit,1.8586,10035.937,66852,66852,66841.74,66841.75,1.42011
2026-04-04 06:00:00+00:00,Short,-1,66927.99,0.014941432,65589.4302,67597.2699,67597.2699,2026-04-05 15:30:00+00:00,stop_loss,-1.1407,10024.53,66916.3,66927.99,66916.29,66927.99,2.17878
2026-04-05 02:00:00+00:00,Long,1,67090.71,0.014905193,68432.5242,66419.8029,68432.5242,2026-04-05 23:00:00+00:00,take_profit,1.8586,10043.116,67085,67090.71,67067.54,67090.7,51.0145
2026-04-05 16:00:00+00:00,Short,-1,67339.83,0.014850052,65993.0334,68013.2283,68013.2283,2026-04-05 22:45:00+00:00,stop_loss,-1.1407,10031.709,67306.65,67339.83,67306.64,67339.82,10.67121
2026-04-06 23:00:00+00:00,Long,1,68780.08,0.014539093,70155.6816,68092.2792,68092.2792,2026-04-07 11:01:00+00:00,stop_loss,-1.1393,10020.316,68811.01,68818,68756.6,68780.09,45.39106
2026-04-07 18:00:00+00:00,Short,-1,68748.64,0.014545742,67373.6672,69436.1264,69436.1264,2026-04-07 20:03:00+00:00,stop_loss,-1.1407,10008.909,68705.82,68761.19,68705.82,68748.63,7.21423
2026-04-07 19:00:00+00:00,Long,1,68407.7,0.014618237,69775.854,67723.623,69775.854,2026-04-07 21:06:00+00:00,take_profit,1.8586,10027.495,68442.52,68442.52,68407.7,68407.7,1.96617
2026-04-07 20:00:00+00:00,Short,-1,69114.15,0.014468817,67731.867,69805.2915,69805.2915,2026-04-07 21:06:00+00:00,stop_loss,-1.1407,10016.088,69011.29,69118.11,69011.29,69114.15,81.47872
2026-04-08 15:00:00+00:00,Long,1,70875.48,0.014109252,72292.9896,70166.7252,72292.9896,2026-04-09 15:48:00+00:00,take_profit,1.8586,10034.674,70912.89,70937.28,70870.22,70875.49,37.36293
2026-04-08 16:00:00+00:00,Short,-1,71329.97,0.014019353,69903.3706,72043.2697,72043.2697,2026-04-09 15:34:00+00:00,stop_loss,-1.1407,10023.267,71309.99,71341.79,71292.31,71329.98,14.22841
2026-04-08 19:00:00+00:00,Long,1,71031.78,0.014078206,72452.4156,70321.4622,72452.4156,2026-04-09 17:03:00+00:00,take_profit,1.8586,10041.853,71099.63,71099.63,71023.65,71031.78,24.16767
2026-04-08 22:00:00+00:00,Short,-1,71538.47,0.013978493,70107.7006,72253.8547,72253.8547,2026-04-09 15:48:00+00:00,stop_loss,-1.1407,10030.446,71551.4,71571.6,71516,71538.46,6.51809
2026-04-08 23:00:00+00:00,Long,1,70957.01,0.01409304,72376.1502,70247.4399,72376.1502,2026-04-09 16:02:00+00:00,take_profit,1.8586,10049.032,71064.84,71069.34,70950,70957.02,27.828
2026-04-09 09:00:00+00:00,Short,-1,71221.51,0.014040702,69797.0798,71933.7251,71933.7251,2026-04-09 15:34:00+00:00,stop_loss,-1.1407,10037.625,71249.51,71249.51,71221.51,71221.52,2.43763
