timestamp,direction,signal,entry_price,quantity,take_profit,stop_loss,exit_price,exit_time,exit_reason,status,net_pnl,perc_pnl,cumulative_pnl,balance,open,high,low,close,volume
2026-06-26 08:00:00+00:00,Long,1,60487.0,0.016532478053135385,61696.74,59882.13,59882.13,2026-06-26 09:48:00+00:00,stop_loss,Completed,-11.393000000000042,-1.1393000000000042,-11.393000000000042,9988.607,60487.0,60539.3,60475.8,60475.9,89.68
2026-06-26 12:30:00+00:00,Long,1,59708.7,0.016747978100343838,60902.873999999996,59111.613,59111.613,2026-06-26 12:40:00+00:00,stop_loss,Completed,-11.392999999999992,-1.139299999999999,-22.786000000000033,9977.214,59708.7,59712.8,59640.0,59657.6,107.943
2026-06-26 12:45:00+00:00,Long,1,59115.5,0.016916037249114023,60297.81,58524.345,58524.345,2026-06-26 13:19:00+00:00,stop_loss,Completed,-11.39299999999998,-1.139299999999998,-34.179000000000016,9965.821,59115.5,59356.0,59040.0,59354.9,564.9
2026-06-26 13:30:00+00:00,Long,1,58889.1,0.016981071199933435,60066.882,58300.208999999995,60066.882,2026-06-26 13:57:00+00:00,take_profit,Completed,18.585999999999988,1.8585999999999987,-15.593000000000028,9984.407,58889.1,59053.1,58833.9,58942.9,553.848
2026-06-26 14:00:00+00:00,Long,1,60141.8,0.01662737064737005,61344.636000000006,59540.382000000005,59540.382000000005,2026-06-26 14:40:00+00:00,stop_loss,Completed,-11.392999999999965,-1.1392999999999966,-26.985999999999994,9973.014,60141.8,60272.9,60036.5,60106.9,404.37
2026-06-26 14:45:00+00:00,Long,1,59574.4,0.01678573346940968,60765.888,58978.656,60765.888,2026-06-27 15:10:00+00:00,take_profit,Completed,18.585999999999956,1.8585999999999956,-8.400000000000038,9991.6,59574.4,59594.8,59543.2,59562.5,40.492
2026-06-27 17:00:00+00:00,Short,-1,60781.4,0.016452401557055282,59565.772,61389.214,59565.772,2026-06-28 16:45:00+00:00,take_profit,Completed,18.61400000000007,1.8614000000000068,10.21400000000003,10010.214,60781.4,60792.8,60781.4,60792.8,5.918
2026-06-28 17:30:00+00:00,Long,1,59570.3,0.016786888768396332,60761.706000000006,58974.597,58974.597,2026-06-28 22:53:00+00:00,stop_loss,Completed,-11.393000000000022,-1.1393000000000022,-1.1789999999999914,9998.821,59570.3,59578.0,59550.1,59577.9,30.929
2026-06-28 23:15:00+00:00,Short,-1,59230.0,0.01688333614722269,58045.4,59822.3,59822.3,2026-06-29 03:02:00+00:00,stop_loss,Completed,-11.407000000000048,-1.1407000000000047,-12.58600000000004,9987.414,59230.0,59277.3,59229.6,59232.5,45.537
2026-06-29 03:15:00+00:00,Short,-1,59977.7,0.016672863414235625,58778.14599999999,60577.477,60577.477,2026-06-29 12:07:00+00:00,stop_loss,Completed,-11.40700000000003,-1.140700000000003,-23.99300000000007,9976.007,59977.7,59999.1,59956.7,59995.2,34.124
2026-06-29 12:15:00+00:00,Long,1,60652.1,0.01648747528939641,61865.142,60045.579,60045.579,2026-06-29 12:38:00+00:00,stop_loss,Completed,-11.39300000000001,-1.1393000000000009,-35.38600000000008,9964.614,60652.1,60720.0,60625.8,60631.3,134.925
2026-06-29 12:45:00+00:00,Long,1,59928.1,0.016686662850983094,61126.662,59328.818999999996,59328.818999999996,2026-06-29 13:46:00+00:00,stop_loss,Completed,-11.393000000000043,-1.1393000000000044,-46.779000000000124,9953.221,59928.1,59998.8,59905.7,59994.8,166.169
2026-06-29 14:00:00+00:00,Long,1,59549.9,0.016792639450276155,60740.898,58954.401,58954.401,2026-06-30 12:06:00+00:00,stop_loss,Completed,-11.393000000000056,-1.1393000000000055,-58.17200000000018,9941.828,59549.9,59562.1,59436.1,59494.8,137.851
2026-06-30 12:15:00+00:00,Long,1,58983.6,0.016953865142175114,60163.272,58393.763999999996,58393.763999999996,2026-06-30 12:58:00+00:00,stop_loss,Completed,-11.39300000000005,-1.139300000000005,-69.56500000000023,9930.435,58983.6,59020.9,58978.0,58999.8,136.971
2026-06-30 13:00:00+00:00,Long,1,58378.6,0.01712956460072698,59546.172,57794.814,57794.814,2026-07-01 01:13:00+00:00,stop_loss,Completed,-11.392999999999999,-1.1392999999999998,-80.95800000000023,9919.042,58378.6,58520.7,58350.0,58419.8,321.295
2026-07-01 01:15:00+00:00,Long,1,58141.0,0.017199566570922413,59303.82,57559.59,59303.82,2026-07-01 03:54:00+00:00,take_profit,Completed,18.585999999999995,1.8585999999999996,-62.37200000000023,9937.628,58141.0,58329.2,58141.0,58235.0,334.774
2026-07-01 04:30:00+00:00,Short,-1,59255.7,0.016876013615567786,58070.585999999996,59848.257,59848.257,2026-07-01 14:13:00+00:00,stop_loss,Completed,-11.407000000000012,-1.1407000000000012,-73.77900000000024,9926.221,59255.7,59257.1,59238.1,59247.9,45.17
2026-07-01 14:15:00+00:00,Long,1,59945.0,0.01668195846192343,61143.9,59345.55,61143.9,2026-07-01 22:21:00+00:00,take_profit,Completed,18.586000000000023,1.8586000000000023,-55.19300000000021,9944.807,59945.0,59988.0,59869.9,59869.9,469.582
2026-07-01 22:30:00+00:00,Long,1,60533.3,0.016519832885370532,61743.96600000001,59927.967000000004,59927.967000000004,2026-07-02 00:01:00+00:00,stop_loss,Completed,-11.39299999999998,-1.1392999999999978,-66.58600000000018,9933.414,60533.3,60662.8,60532.8,60552.0,224.008
2026-07-02 00:30:00+00:00,Long,1,59757.6,0.01673427313011232,60952.752,59160.024,60952.752,2026-07-02 03:52:00+00:00,take_profit,Completed,18.58600000000003,1.858600000000003,-48.000000000000156,9952.0,59757.6,59771.2,59682.2,59684.8,135.037
