timestamp,open,high,low,close,volume,ind_RSI_14,long_cond_1,short_cond_1,signal
2026-07-19 15:00:00+00:00,64560.8,64595.4,64463.9,64548.0,541.889,37.47403946002091,False,False,0
2026-07-19 16:00:00+00:00,64548.0,64626.1,64475.0,64516.9,655.997,36.81531036647571,False,False,0
2026-07-19 17:00:00+00:00,64516.9,64734.1,64379.0,64524.7,1741.177,35.19644676056185,False,False,0
2026-07-19 18:00:00+00:00,64524.7,64530.8,64224.3,64392.4,2090.8070000000002,35.95707396919603,False,False,0
2026-07-19 19:00:00+00:00,64392.4,64440.0,64313.3,64432.2,396.642,29.608943144772436,False,False,0
2026-07-19 20:00:00+00:00,64432.2,64561.7,64431.9,64513.0,957.087,33.417243612692474,True,False,1
2026-07-19 21:00:00+00:00,64513.0,64534.9,64313.0,64379.0,909.874,40.459896411530515,False,False,0
2026-07-19 22:00:00+00:00,64379.0,64880.4,64313.0,64650.1,3062.448,34.03111315150012,False,False,0
2026-07-19 23:00:00+00:00,64650.1,64750.0,64537.5,64698.2,965.106,50.995825434773465,False,False,0
2026-07-20 00:00:00+00:00,64698.2,65100.0,64372.3,64524.4,4313.58,53.290961877022625,False,False,0
2026-07-20 01:00:00+00:00,64524.4,65012.5,64461.3,64589.0,2736.153,45.0759259613096,False,False,0
2026-07-20 02:00:00+00:00,64589.0,64943.9,64550.0,64801.2,2121.297,48.268066802475985,False,False,0
2026-07-20 03:00:00+00:00,64801.2,64915.3,64614.0,64842.1,1411.162,57.090195375406026,False,False,0
2026-07-20 04:00:00+00:00,64842.1,64844.4,64500.1,64509.4,1198.001,58.55718334098201,False,False,0
2026-07-20 05:00:00+00:00,64509.4,64536.2,64028.6,64097.4,3507.148,45.06162063990638,False,False,0
2026-07-20 06:00:00+00:00,64097.4,64195.6,63678.8,63886.2,5241.542,34.46778384601088,False,False,0
2026-07-20 07:00:00+00:00,63886.2,64292.4,63854.9,64247.2,2389.262,30.50824121148158,False,False,0
2026-07-20 08:00:00+00:00,64247.2,64332.8,63802.6,64029.7,3829.466,42.63804045732429,False,False,0
2026-07-20 09:00:00+00:00,64029.7,64258.9,63972.0,64164.2,1223.798,38.30033889235166,False,False,0
2026-07-20 10:00:00+00:00,64164.2,64388.8,64127.4,64274.3,1319.507,42.21526242325867,False,False,0
2026-07-20 11:00:00+00:00,64274.3,65053.9,64235.1,64975.9,5370.852,45.27628007768943,False,False,0
2026-07-20 12:00:00+00:00,64975.9,64981.8,64566.8,64623.1,3165.9519999999998,59.86612627627823,False,False,0
2026-07-20 13:00:00+00:00,64623.1,64742.6,64166.8,64308.8,4175.111,52.313278678797815,False,False,0
2026-07-20 14:00:00+00:00,64308.8,64545.0,64030.0,64384.0,3731.597,46.664939601460354,False,False,0
2026-07-20 15:00:00+00:00,64384.0,65718.0,64381.1,65573.8,10460.284,48.10859129269977,False,False,0
2026-07-20 16:00:00+00:00,65573.8,65616.4,65301.2,65483.9,4314.854,64.48715736462505,False,False,0
2026-07-20 17:00:00+00:00,65483.9,65621.2,65316.5,65560.1,2237.149,62.8723869802586,False,False,0
2026-07-20 18:00:00+00:00,65560.1,65769.3,65160.2,65206.9,3833.482,63.702046022676825,False,False,0
2026-07-20 19:00:00+00:00,65206.9,65249.9,65013.1,65117.5,2610.595,57.309423391443794,False,False,0
2026-07-20 20:00:00+00:00,65117.5,65423.5,65025.3,65337.1,1718.857,55.783499238313915,False,False,0
2026-07-20 21:00:00+00:00,65337.1,65420.6,65235.4,65257.4,876.943,58.69294735478431,False,False,0
2026-07-20 22:00:00+00:00,65257.4,65257.5,65055.9,65117.1,1236.354,57.22133012245077,False,False,0
2026-07-20 23:00:00+00:00,65117.1,65251.8,65097.0,65221.1,1025.824,54.624860078471826,False,False,0
2026-07-21 00:00:00+00:00,65221.1,65566.6,65114.0,65539.2,1979.114,56.21103260456768,False,False,0
2026-07-21 01:00:00+00:00,65539.2,65636.7,65201.7,65202.3,1983.471,60.73251221256395,False,False,0
2026-07-21 02:00:00+00:00,65202.3,65476.5,65145.1,65380.1,1408.901,54.33359701023983,False,False,0
2026-07-21 03:00:00+00:00,65380.1,65565.9,65380.0,65537.9,1389.352,56.9137151165471,False,False,0
2026-07-21 04:00:00+00:00,65537.9,65719.9,65446.2,65494.6,1934.506,59.12121498624433,False,False,0
2026-07-21 05:00:00+00:00,65494.6,65929.7,65460.0,65722.5,2733.961,58.239466731900045,False,False,0
2026-07-21 06:00:00+00:00,65722.5,65970.0,65594.0,65892.4,2645.075,61.49456707459149,False,False,0
2026-07-21 07:00:00+00:00,65892.4,66244.9,65833.0,66163.9,3907.1400000000003,63.76230393946463,False,False,0
2026-07-21 08:00:00+00:00,66163.9,66333.3,66109.4,66205.5,3537.46,67.09707689249369,False,False,0
2026-07-21 09:00:00+00:00,66205.5,66341.0,66115.5,66263.6,1554.128,67.58923333738124,False,False,0
2026-07-21 10:00:00+00:00,66263.6,66394.0,66150.2,66169.0,2145.911,68.30235427276469,False,False,0
2026-07-21 11:00:00+00:00,66169.0,66328.0,66121.0,66320.1,1301.4,65.76507152574814,False,False,0
2026-07-21 12:00:00+00:00,66320.1,66634.8,66236.1,66525.0,3707.402,67.82124806733302,False,False,0
2026-07-21 13:00:00+00:00,66525.0,66800.9,66295.1,66750.8,4741.502,70.4160780128785,False,False,0
2026-07-21 14:00:00+00:00,66750.8,66937.7,66609.9,66805.5,5603.374,72.9999496896488,False,True,-1
2026-07-21 15:00:00+00:00,66805.5,66805.5,66489.0,66640.4,2783.642,73.60146013200477,False,True,-1
2026-07-21 16:00:00+00:00,66640.4,66733.7,66434.1,66515.2,1635.473,68.63156814426516,False,True,-1
2026-07-21 17:00:00+00:00,66515.2,66544.4,66026.0,66188.0,4074.0299999999997,65.04470812478063,False,False,0
2026-07-21 18:00:00+00:00,66188.0,66339.5,66070.6,66296.5,2132.978,56.70408492069495,False,False,0
2026-07-21 19:00:00+00:00,66296.5,66506.9,66233.2,66411.1,1686.366,58.59987109898641,False,False,0
2026-07-21 20:00:00+00:00,66411.1,66471.0,66316.8,66370.3,806.865,60.56402095512616,False,False,0
2026-07-21 21:00:00+00:00,66370.3,66385.6,66253.5,66351.8,1116.317,59.48204148457786,False,False,0
2026-07-21 22:00:00+00:00,66351.8,66352.7,66170.7,66271.3,695.205,58.967625789865785,False,False,0
2026-07-21 23:00:00+00:00,66271.3,66546.7,66193.3,66524.0,1017.121,56.67096026241127,False,False,0
2026-07-22 00:00:00+00:00,66524.0,66709.5,66500.2,66587.9,1626.53,61.71221247603095,False,False,0
2026-07-22 01:00:00+00:00,66587.9,66626.9,66245.6,66392.9,1710.951,62.88806606077847,False,False,0
2026-07-22 02:00:00+00:00,66392.9,66500.0,66260.7,66279.4,726.484,57.122781360889164,False,False,0
2026-07-22 03:00:00+00:00,66279.4,66340.8,66136.7,66175.4,1169.371,54.01863589139607,False,False,0
2026-07-22 04:00:00+00:00,66175.4,66402.9,66161.1,66390.3,844.688,51.269393324810274,False,False,0
