timestamp,open,high,low,close,volume,RSI_RSI_14,MACD_MACD_12_26_9,MACD_SIGNAL_12_26_9,MACD_HISTOGRAM_12_26_9,ATR_ATR_14
2026-06-30 13:41:00+00:00,58506.1,58536.6,58422.4,58500.1,108.034,,,,,
2026-06-30 13:42:00+00:00,58500.1,58515.0,58422.4,58482.6,154.356,,,,,
2026-06-30 13:43:00+00:00,58482.6,58542.0,58482.5,58495.1,108.715,,,,,
2026-06-30 13:44:00+00:00,58495.1,58559.9,58472.1,58540.6,68.057,,,,,
2026-06-30 13:45:00+00:00,58540.6,58566.5,58488.1,58550.3,133.759,,,,,
2026-06-30 13:46:00+00:00,58550.3,58552.0,58442.0,58547.7,92.468,,,,,
2026-06-30 13:47:00+00:00,58547.7,58582.6,58437.7,58452.5,272.017,,,,,
2026-06-30 13:48:00+00:00,58452.5,58499.8,58439.4,58488.5,75.269,,,,,
2026-06-30 13:49:00+00:00,58488.5,58514.7,58430.2,58479.7,97.935,,,,,
2026-06-30 13:50:00+00:00,58479.7,58584.7,58473.6,58578.1,110.477,,,,,
2026-06-30 13:51:00+00:00,58578.1,58786.0,58550.1,58696.1,742.387,,,,,
2026-06-30 13:52:00+00:00,58696.1,58733.4,58643.9,58716.5,317.654,,,,,
2026-06-30 13:53:00+00:00,58716.5,58743.2,58652.5,58671.3,160.653,,,,,
2026-06-30 13:54:00+00:00,58671.3,58691.7,58616.4,58644.9,75.976,,,,,
2026-06-30 13:55:00+00:00,58644.9,58675.3,58563.7,58637.9,86.734,62.68409425625919,,,,102.30000000000031
2026-06-30 13:56:00+00:00,58637.9,58661.3,58573.5,58610.8,93.199,59.487972046768135,,,,101.2642857142862
2026-06-30 13:57:00+00:00,58610.8,58656.2,58585.2,58635.4,126.02,61.411398400466425,,,,99.10255102040863
2026-06-30 13:58:00+00:00,58635.4,58696.1,58623.0,58663.3,60.192,63.52646117027088,,,,97.24522594752219
2026-06-30 13:59:00+00:00,58663.3,58724.0,58650.8,58710.3,61.641,66.82522030349332,,,,95.52770980841326
2026-06-30 14:00:00+00:00,58710.3,58838.5,58623.2,58746.2,538.591,69.12241252868515,,,,104.08287339352681
2026-06-30 14:01:00+00:00,58746.2,59055.0,58728.1,59055.0,652.037,81.18873314772672,,,,119.99838243684643
2026-06-30 14:02:00+00:00,59055.0,59247.3,58977.4,59233.7,1164.096,84.87276241930941,,,,130.70564083421465
2026-06-30 14:03:00+00:00,59233.7,59233.7,59011.2,59050.0,536.936,69.75036063541742,,,,137.26238077462787
2026-06-30 14:04:00+00:00,59050.0,59077.8,58944.7,58993.5,254.224,65.8633119921659,,,,136.96506786215485
2026-06-30 14:05:00+00:00,58993.5,58993.5,58917.8,58955.1,147.598,63.282110355797094,,,,132.58899158628645
2026-06-30 14:06:00+00:00,58955.1,59037.7,58954.8,58987.1,111.822,64.52963035798042,,,,129.0397779015513
2026-06-30 14:07:00+00:00,58987.1,59040.1,58963.9,58995.6,181.503,64.87105007980752,,,,125.26550805144029
2026-06-30 14:08:00+00:00,58995.6,59011.6,58957.6,58984.9,48.081,64.03546060122738,,,,120.17511461919456
2026-06-30 14:09:00+00:00,58984.9,59004.1,58933.2,58955.6,139.836,61.692094848834934,,,,116.65546357496648
2026-06-30 14:10:00+00:00,58955.6,58964.0,58825.8,58852.6,280.446,54.185288409465926,,,,118.19435903389724
2026-06-30 14:11:00+00:00,58852.6,58992.8,58848.3,58938.2,190.096,58.68471972708821,,,,120.07333338861886
2026-06-30 14:12:00+00:00,58938.2,58961.4,58853.0,58896.5,84.391,55.809268700475855,,,,119.23952386086047
2026-06-30 14:13:00+00:00,58896.5,59007.5,58887.5,58995.2,93.417,60.715700184191135,,,,119.29384358508472
2026-06-30 14:14:00+00:00,58995.2,59029.1,58951.4,58979.4,80.505,59.57538212018972,112.60848864973377,136.666347096776,-24.057858447042236,116.32285475757847
2026-06-30 14:15:00+00:00,58979.4,59022.0,58944.2,58970.9,46.696,58.93411600508991,107.8734267984837,130.90776303711755,-23.03433623863384,113.5712222748945
2026-06-30 14:16:00+00:00,58970.9,58978.6,58910.7,58916.7,52.594,54.87778772675593,98.610646980007,124.44833982569544,-25.837692845688437,110.30899211240214
2026-06-30 14:17:00+00:00,58916.7,58994.8,58863.4,58890.0,81.686,52.94455438305763,88.09980071788596,117.17863200413355,-29.078831286247592,111.81549267580208
2026-06-30 14:18:00+00:00,58890.0,58988.2,58883.3,58948.3,71.175,56.544335187705485,83.51153312542738,110.44521222839231,-26.93367910296493,111.32152891324436
2026-06-30 14:19:00+00:00,58948.3,58989.2,58911.1,58933.3,44.914,55.37064589275344,77.7684569988487,103.90986118248358,-26.141404183634876,108.94856256229824
2026-06-30 14:20:00+00:00,58933.3,58952.5,58889.9,58940.7,41.473,55.85744153978723,72.97295909912646,97.72248076581215,-24.749521666685695,105.6379509507054
2026-06-30 14:21:00+00:00,58940.7,59003.2,58927.4,58991.8,131.023,59.16940584796625,72.46055522784445,92.67009565821861,-20.20954043037416,103.50666873994042
2026-06-30 14:22:00+00:00,58991.8,59069.7,58974.6,59059.7,157.458,63.12814339908734,76.64986210671486,89.46604894791787,-12.816186841203006,102.90619240137315
2026-06-30 14:23:00+00:00,59059.7,59129.5,59037.1,59087.7,172.146,64.65020036811228,81.29219812741212,87.83127878381671,-6.539080656404593,102.15575008698946
2026-06-30 14:24:00+00:00,59087.7,59126.2,58979.5,59020.3,216.111,58.40076232863082,78.62631098548445,85.99028522415026,-7.363974238665804,105.33748222363286
2026-06-30 14:25:00+00:00,59020.3,59024.7,58967.7,58988.0,50.45,55.62569301411904,73.06498845564784,83.40522587044977,-10.340237414801933,101.8848049219448
2026-06-30 14:26:00+00:00,58988.0,59015.2,58967.1,58992.9,35.628,55.96752028200084,68.26606067921239,80.37739283220229,-12.111332152989903,98.0430331418058
2026-06-30 14:27:00+00:00,58992.9,59083.7,58992.9,59061.5,174.391,60.54937890281013,69.2006208466264,78.14203843508712,-8.941417588460709,97.5256736316765
2026-06-30 14:28:00+00:00,59061.5,59072.8,58989.2,59011.0,149.341,55.9350895565689,65.11572501372575,75.53677575081484,-10.42105073708909,96.53098265798573
2026-06-30 14:29:00+00:00,59011.0,59045.6,58987.4,59014.7,84.281,56.19846753872291,61.46840520147089,72.72310164094606,-11.254696439475168,93.79305532527225
