timestamp,target,open,high,low,close,volume,ind_EMA_20,ind_EMA_50,ind_RSI_14,ind_MACD_12_26_9,ind_MACD_SIGNAL_12_26_9,ind_MACD_HIST_12_26_9,pat_DOJI,pat_BULLISH_ENGULFING
2024-06-30 12:30:00+00:00,0,-1.250019610455456,-1.2561395974646135,-1.2548951132724446,-1.25811449622826,0.4587474176939222,-1.258231331815629,-1.2752008718564,0.8605616663749297,0.6556658444633712,0.7718233845710243,-0.3716155717106929,-5.199337582605575,-5.199337582605575
2024-06-30 12:45:00+00:00,0,-1.2576934574518557,-1.2592827718940316,-1.2534402737437311,-1.2546693929175468,-0.5132745376235442,-1.258675250667595,-1.274657074679208,-0.28196627511682054,0.5471085380509693,0.7298679041416234,-0.6389756737437944,-5.199337582605575,-5.199337582605575
2024-06-30 13:00:00+00:00,0,-1.2533309796963372,-1.258754521252779,-1.251052373296482,-1.2537410780541083,-0.5425912192105093,-1.2586815686092119,-1.2738464699543957,0.19563898829085033,0.49057999907687866,0.6828299358733475,-0.6750041306428126,-5.199337582605575,-5.199337582605575
2024-06-30 13:15:00+00:00,0,-1.2524013345407727,-1.2549053411093478,-1.2499747469647948,-1.250037944402672,0.24464186739978083,-1.2586083682344607,-1.272990587312277,0.31583302642690136,0.45201507772345284,0.6457540911852045,-0.6520822301983176,-5.199337582605575,-5.199337582605575
2024-06-30 13:30:00+00:00,0,-1.2491263757432183,-1.2494118887121668,-1.2474381185343661,-1.251125409099498,0.6590796815340407,-1.2580332540847579,-1.2718607710325531,0.7586043688264462,0.46623536112088493,0.6153910453445693,-0.4958765654458629,-5.199337582605575,-5.199337582605575
2024-06-30 13:45:00+00:00,0,-1.2500862305646994,-1.2494652989092265,-1.246236213179354,-1.247124213090756,0.01439765691526929,-1.2576055356078841,-1.2708671553521247,0.591109268179149,0.4580603334205135,0.5904933316859151,-0.42989944584305184,-5.199337582605575,-5.199337582605575
2024-06-30 14:00:00+00:00,0,-1.246089563420893,-1.2442665874498917,-1.2450171107412134,-1.2474620068596152,1.0097152827931524,-1.2566568772018298,-1.2696267005692654,1.043784581932348,0.49779436333974314,0.5740805815889579,-0.22439887325599478,-5.199337582605575,5.19933758270342
2024-06-30 14:15:00+00:00,0,-1.246454056185633,-1.2492467250889856,-1.2476350464937684,-1.251263701204921,0.3798959202689384,-1.2558358801012641,-1.2690234498162793,0.9905666487778556,0.5214119745285789,0.5661052585047697,-0.10744357378260955,5.19933758270342,-5.199337582605575
2024-06-30 14:30:00+00:00,0,-1.250208578401303,-1.2534829458178285,-1.248188432159326,-1.2525432027286973,-0.15417550884825937,-1.2556380581735773,-1.2686016966477633,0.37462517025140835,0.48495141527379626,0.5537796332850418,-0.20319094436299143,-5.199337582605575,-5.199337582605575
2024-06-30 14:45:00+00:00,0,-1.251337419703074,-1.253970338417251,-1.2488558098163,-1.2516369420926567,-0.3565015633344776,-1.2556422866858918,-1.2682496373907455,0.1761982820322875,0.43381710600553425,0.5270790138612454,-0.3174895075815434,-5.199337582605575,-5.199337582605575
2024-06-30 15:00:00+00:00,0,-1.250537683762145,-1.2524625300800054,-1.246883689878604,-1.2482048197507032,-0.24316229273593948,-1.2555164014697069,-1.2678740583635664,0.2996204559188036,0.3987528867514312,0.5018422133053898,-0.3511060949291536,-5.199337582605575,-5.199337582605575
2024-06-30 15:15:00+00:00,0,-1.247508013249048,-1.252555390326077,-1.2450707190905028,-1.2492044884453644,-0.7317059733151342,-1.2549102182498793,-1.267371153081871,0.7358931112951019,0.4165636107868001,0.4820118228778028,-0.2327783838688122,-5.199337582605575,-5.199337582605575
