entry_time,direction,signal,entry_price,quantity,take_profit,stop_loss,exit_price,exit_time,exit_reason,status,net_pnl,perc_pnl,cumulative_pnl,balance,target,open,high,low,close,volume,ind_EMA_20,ind_EMA_50,ind_RSI_14,ind_MACD_12_26_9,ind_MACD_SIGNAL_12_26_9,ind_MACD_HIST_12_26_9,pat_DOJI,pat_BULLISH_ENGULFING
2026-02-04 02:45:00+00:00,Long,1,75999.9,0.013157912049884278,77519.898,75239.901,75239.901,2026-02-04 13:45:00+00:00,stop_loss,Completed,-11.392999999999951,-1.139299999999995,-11.392999999999951,9988.607,1,75999.9,76083.23,75762.38,75963.35,220.20103,76110.77714470995,76321.63885866597,48.33293480334846,81.60961843385303,48.91492047109409,32.69469796275894,0.0,0.0
2026-02-04 14:30:00+00:00,Short,-1,75298.81,0.013280422359928398,73792.8338,76051.7981,73792.8338,2026-02-04 16:00:00+00:00,take_profit,Completed,18.614000000000065,1.8614000000000064,7.221000000000114,10007.221,-1,75298.81,75769.23,74688.0,75212.01,1038.70839,75834.55954921854,76099.21777705889,37.11333455698029,-249.87548373296158,-159.73105269420392,-90.14443103875766,0.0,0.0
2026-02-04 16:15:00+00:00,Short,-1,73896.35,0.013532468112430451,72418.42300000001,74635.3135,72418.42300000001,2026-02-04 17:15:00+00:00,take_profit,Completed,18.613999999999947,1.8613999999999946,25.83500000000006,10025.835000000001,-1,73896.35,74249.83,73404.01,74150.0,780.72583,75143.32852512419,75709.76997430151,28.0389913882854,-513.4385863427742,-367.74079075860857,-145.69779558416565,0.0,0.0
2026-02-04 17:30:00+00:00,Short,-1,72473.56,0.01379813548554811,71024.0888,73198.2956,73198.2956,2026-02-04 18:00:00+00:00,stop_loss,Completed,-11.406999999999998,-1.1406999999999998,14.428000000000063,10014.428,-1,72473.56,72952.09,72169.0,72769.18,1924.67436,74432.72853092308,75286.19322488627,26.10877412848086,-737.4521569824137,-558.8840274408888,-178.56812954152497,0.0,0.0
2026-02-04 18:15:00+00:00,Long,1,72858.91,0.013725157293733874,74316.0882,72130.3209,72130.3209,2026-02-04 22:00:00+00:00,stop_loss,Completed,-11.392999999999962,-1.1392999999999962,3.0350000000001014,10003.035,1,72858.91,73591.6,72652.47,73416.02,983.78819,73993.16430122031,74997.77758716214,33.43978037695303,-812.4977114930516,-678.4994950129536,-133.998216480098,0.0,100.0
2026-02-04 22:15:00+00:00,Short,-1,72331.66,0.013825204619940976,70885.0268,73054.97660000001,73054.97660000001,2026-02-04 22:15:00+00:00,stop_loss,Completed,-11.407000000000076,-1.1407000000000078,-8.371999999999975,9991.628,-1,72331.66,73680.0,72331.15,73510.02,530.94113,73368.99758341415,74197.36804521372,34.92956035305116,-421.17881635320373,-390.27722024169367,-30.90159611151006,0.0,0.0
2026-02-04 22:30:00+00:00,Short,-1,73510.01,0.01360358949753918,72039.80979999999,74245.11009999999,72039.80979999999,2026-02-05 01:15:00+00:00,take_profit,Completed,18.61400000000009,1.8614000000000088,10.242000000000115,10010.242,-1,73510.01,73530.0,72701.67,72792.83,434.81469,73382.42828975565,74170.41321991122,49.328661747619265,-359.6718530459766,-384.15614680255027,24.484293756573663,0.0,0.0
2026-02-05 01:30:00+00:00,Short,-1,72967.15,0.013704797295769398,71507.80699999999,73696.82149999999,71507.80699999999,2026-02-05 02:45:00+00:00,take_profit,Completed,18.61400000000011,1.861400000000011,28.856000000000225,10028.856,-1,72967.15,73187.6,72262.87,72635.05,523.47422,73141.6965537154,73735.45779687245,46.63380810020403,-176.55295425863005,-230.51304974229632,53.960095483666265,0.0,0.0
2026-02-05 03:30:00+00:00,Short,-1,71515.6,0.01398296315768867,70085.288,72230.75600000001,70085.288,2026-02-05 11:15:00+00:00,take_profit,Completed,18.614000000000072,1.861400000000007,47.4700000000003,10047.470000000001,-1,71515.6,71611.58,71288.02,71446.0,490.2069,72499.9780081019,73268.11497152668,36.296134429381326,-447.58451124926796,-332.15998870986493,-115.42452253940303,100.0,0.0
2026-02-05 11:30:00+00:00,Short,-1,70067.21,0.014272011116184017,68665.8658,70767.8821,70767.8821,2026-02-05 14:30:00+00:00,stop_loss,Completed,-11.406999999999941,-1.140699999999994,36.06300000000036,10036.063,-1,70067.21,70728.88,69922.0,70493.71,977.8994,71170.6170316816,71713.69883586203,34.161804441337594,-184.20518259504752,-115.03284592695042,-69.1723366680971,0.0,0.0
2026-02-05 14:45:00+00:00,Short,-1,70435.25,0.014197436652812334,69026.545,71139.6025,69026.545,2026-02-05 15:00:00+00:00,take_profit,Completed,18.614000000000026,1.8614000000000026,54.67700000000038,10054.677,-1,70435.25,70773.94,69285.71,69404.76,834.05623,70183.66603766424,70939.12151123329,51.046340458502314,-356.50938816675625,-426.32579761702846,69.8164094502722,0.0,0.0
