entry_time,direction,signal,entry_price,quantity,take_profit,stop_loss,exit_price,exit_time,exit_reason,status,net_pnl,perc_pnl,cumulative_pnl,balance,target
2026-02-04 15:00:00+00:00,Long,1,74359.53,0.013448175371737826,75846.7206,73615.9347,73615.9347,2026-02-04 16:00:00+00:00,stop_loss,Completed,-11.393000000000011,-1.139300000000001,-11.393000000000011,9988.607,0
2026-02-04 17:00:00+00:00,Long,1,73635.63,0.013580382214425271,75108.3426,72899.2737,72899.2737,2026-02-04 17:00:00+00:00,stop_loss,Completed,-11.392999999999992,-1.139299999999999,-22.786,9977.214,-1
2026-02-04 17:15:00+00:00,Long,1,73608.89,0.013585315578050422,75081.0678,72872.8011,72872.8011,2026-02-04 17:15:00+00:00,stop_loss,Completed,-11.393000000000033,-1.1393000000000033,-34.17900000000003,9965.821,1
2026-02-04 17:30:00+00:00,Long,1,72473.56,0.01379813548554811,73923.0312,71748.8244,73923.0312,2026-02-04 18:30:00+00:00,take_profit,Completed,18.586,1.8585999999999998,-15.593000000000032,9984.407,-1
2026-02-04 22:00:00+00:00,Long,1,72800.0,0.013736263736263736,74256.0,72072.0,72072.0,2026-02-04 22:00:00+00:00,stop_loss,Completed,-11.392999999999999,-1.1392999999999998,-26.986000000000033,9973.014,1
2026-02-05 02:45:00+00:00,Long,1,72588.0,0.013776381771091641,74039.76,71862.12,71862.12,2026-02-05 02:45:00+00:00,stop_loss,Completed,-11.393000000000063,-1.1393000000000062,-38.3790000000001,9961.621,0
2026-02-05 04:00:00+00:00,Long,1,71223.25,0.014040359011979937,72647.715,70511.0175,70511.0175,2026-02-05 05:15:00+00:00,stop_loss,Completed,-11.392999999999974,-1.1392999999999975,-49.77200000000007,9950.228,0
2026-02-05 11:15:00+00:00,Long,1,70792.8,0.014125730300256522,72208.656,70084.872,70084.872,2026-02-05 11:15:00+00:00,stop_loss,Completed,-11.392999999999997,-1.1392999999999998,-61.16500000000006,9938.835,1
2026-02-05 12:15:00+00:00,Long,1,69918.01,0.01430246656047562,71316.37019999999,69218.8299,69218.8299,2026-02-05 12:15:00+00:00,stop_loss,Completed,-11.392999999999967,-1.1392999999999966,-72.55800000000004,9927.442,-1
2026-02-05 15:00:00+00:00,Long,1,69404.75,0.0144082357475533,70792.845,68710.7025,68710.7025,2026-02-05 15:00:00+00:00,stop_loss,Completed,-11.393000000000006,-1.1393000000000006,-83.95100000000004,9916.048999999999,-1
2026-02-05 15:15:00+00:00,Long,1,68014.24,0.01470280341293235,69374.52480000001,67334.09760000001,67334.09760000001,2026-02-05 15:15:00+00:00,stop_loss,Completed,-11.392999999999954,-1.1392999999999955,-95.344,9904.656,1
2026-02-05 15:30:00+00:00,Long,1,66851.98,0.014958420079704446,68189.0196,66183.4602,68189.0196,2026-02-05 15:45:00+00:00,take_profit,Completed,18.586000000000055,1.8586000000000054,-76.75799999999994,9923.242,0
2026-02-05 16:00:00+00:00,Short,-1,67489.08,0.014817211910430545,66139.2984,68163.9708,68163.9708,2026-02-05 16:15:00+00:00,stop_loss,Completed,-11.406999999999906,-1.1406999999999907,-88.16499999999985,9911.835000000001,1
2026-02-05 16:30:00+00:00,Short,-1,68176.68,0.014667772029966846,66813.1464,68858.44679999999,66813.1464,2026-02-05 17:15:00+00:00,take_profit,Completed,18.613999999999933,1.8613999999999933,-69.55099999999992,9930.449,1
2026-02-05 17:30:00+00:00,Long,1,67408.2,0.01483499040176121,68756.364,66734.118,66734.118,2026-02-05 17:30:00+00:00,stop_loss,Completed,-11.392999999999923,-1.1392999999999922,-80.94399999999985,9919.056,-1
2026-02-05 17:45:00+00:00,Long,1,67109.93,0.014900924498058635,68452.1286,66438.83069999999,66438.83069999999,2026-02-05 17:45:00+00:00,stop_loss,Completed,-11.393000000000026,-1.1393000000000026,-92.33699999999988,9907.663,1
2026-02-05 18:15:00+00:00,Long,1,66448.91,0.015049155810080254,67777.8882,65784.4209,65784.4209,2026-02-05 18:15:00+00:00,stop_loss,Completed,-11.393000000000091,-1.139300000000009,-103.72999999999996,9896.27,0
2026-02-05 18:45:00+00:00,Long,1,65766.86,0.015205226462081358,67082.1972,65109.1914,65109.1914,2026-02-05 20:00:00+00:00,stop_loss,Completed,-11.392999999999956,-1.1392999999999958,-115.12299999999992,9884.877,0
2026-02-05 20:15:00+00:00,Long,1,65051.38,0.01537246404303798,66352.40759999999,64400.8662,64400.8662,2026-02-05 20:15:00+00:00,stop_loss,Completed,-11.393000000000008,-1.1393000000000006,-126.51599999999993,9873.484,-1
2026-02-05 20:30:00+00:00,Long,1,63866.59,0.015657638837457896,65143.9218,63227.9241,63227.9241,2026-02-05 20:30:00+00:00,stop_loss,Completed,-11.392999999999999,-1.1392999999999998,-137.90899999999993,9862.091,0
2026-02-05 20:45:00+00:00,Long,1,63665.41,0.015707116313238224,64938.7182,63028.755900000004,63028.755900000004,2026-02-05 20:45:00+00:00,stop_loss,Completed,-11.392999999999994,-1.1392999999999993,-149.30199999999994,9850.698,-1
2026-02-05 21:00:00+00:00,Long,1,63775.66,0.015679963170902502,65051.173200000005,63137.9034,63137.9034,2026-02-05 21:15:00+00:00,stop_loss,Completed,-11.393000000000008,-1.1393000000000009,-160.69499999999994,9839.305,1
2026-02-05 21:30:00+00:00,Long,1,63969.93,0.015632344759483087,65249.3286,63330.2307,63330.2307,2026-02-05 21:30:00+00:00,stop_loss,Completed,-11.393,-1.1393000000000002,-172.08799999999994,9827.912,-1
2026-02-05 22:00:00+00:00,Long,1,63213.34,0.01581944570560581,64477.606799999994,62581.2066,64477.606799999994,2026-02-05 22:30:00+00:00,take_profit,Completed,18.585999999999963,1.8585999999999965,-153.50199999999998,9846.498,1
